data;

# P1:	B£ONIE		P2: KSI¥¯ENICE		P3: GÓRA KALWARIA	P4: OTWOCK		P5: WO£OMIN		P6: LEGIONOWO
# M1:	PRUSZKÓW 	M2:	PIASECZNO 		M3:	ZIELONKA
# S1:	BIA£. WSCH.	S2: BIA£. ZACH.		S3: BRÓDNO			S4: TARGÓWEK	S5: GOC£AW		S6: NOWE W£OCHY		S7: W£OCHY		S8: ŒRÓDM.		S9: MOKOTÓW		S10: SOLEC

set PRODUCENCI 	:= P1 P2 P3 P4 P5 P6 ;
set MAGAZYNY 	:= M1 M2 M3 ;
set WARZYWA	 	:= Ziemniaki Kapusta Buraki Marchew ;
set SKLEPY	   	:= S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 ;

param koszt_tona_km := 4 ;

param t := 52 ;

param max_roczna_prod:
		Ziemniaki	Kapusta	Buraki	Marchew :=
	P1  120    	 	80    	120		60
	P2  50    		90    	160		50
	P3  160    		70    	190		90
	P4  230    		50    	30		110
	P5  220    		230    	180		100
	P6  370    		150    	50		90
;

param max_pojemnosc_mag :=
	M1	800
	M2	1200
	M3	750
;

param max_pojemnosc_sklep :=
	S1	8.42
	S2	7.92
	S3	8.5
	S4	8.3
	S5	10.36
	S6	8.18
	S7	8.63
	S8	8.98
	S9	8.5
	S10	9.04
;

param odleglosc_mag_prod:
		P1		P2		P3		P4		P5		P6	:=
   M1   13.7	13.0	35.1	31.4	34.8	27.8
   M2   30.9	22.5	17.6	16.2	32.3	18.3
   M3   38.9	40.4	36.6	23.3	6.7		18.1
;
   
param odleglosc_mag_sklep:
		S1		S2		S3		S4		S5		S6		S7		S8		S9		S10 :=
   M1   23.7	19.5	20.6	20.3	20.2	7.4 	9.1 	14.5	12.8	16.3
   M2   26.8	26.6	24.2	21.7	17.1	16.4	12.0	15.3	13.6 	16.0
   M3   7.2 	13.2	8.8 	7.6 	9.6 	20.7	20.4	13.9	16.0	12.2
;
   
param tygodniowa_sprzedaz:=
	[Ziemniaki, *, *](tr):
		S1		S2		S3		S4		S5		S6		S7		S8		S9		S10 :=
	1	0.36    0.19    0.23    0.25    0.27    0.35    0.29    0.32    0.25    0.31
	2	0.42    0.29    0.4     0.35    0.46    0.3     0.23    0.54    0.28    0.39
	3	0.31    0.16    0.22    0.48    0.34    0.25    0.44    0.44    0.34    0.31
	4	0.29    0.32    0.42    0.29    0.16    0.35    0.26    0.32    0.28    0.31
	5	0.47    0.53    0.46    0.69    0.53    0.46    0.7     0.28    0.39    0.48
	6	0.59    0.64    0.62    0.54    0.46    0.59    0.39    0.59    0.55    0.5
	7	0.56    0.52    0.53    0.37    0.34    0.57    0.48    0.45    0.4     0.47
	8	0.67    1.01    0.78    0.79    1.03    0.71    0.95    0.53    0.75    0.89
	9	0.8     0.87    0.6     0.62    0.79    0.85    0.88    0.72    0.81    0.74
	10	1.05    0.96    0.9     0.94    1.17    1.07    0.97    0.99    0.91    1.21
	11	1.01    1.05    1.08    1.03    0.97    0.97    1.15    1.15    0.97    1.0
	12	0.97    1.04    1.19    1.01    0.99    1.04    1.05    1.05    0.99    0.95
	13	1.38    1.17    1.18    1.27    1.39    1.32    1.3     1.17    1.16    1.4
	14	1.29    1.33    1.38    1.42    1.31    1.36    1.13    1.32    1.38    1.42
	15	1.45    1.3     1.17    1.39    1.38    1.29    1.32    1.14    1.39    1.28
